"","ID","SCORE","RANK"
"1","ID40721836565",-3.65023907648864,0
"2","ID98975196852",-4.91012181343646,0
"3","ID99208242445",-4.71923048965649,0
"4","ID49984943936",-3.65023907648864,0
"5","ID11087903013",-4.10837825356058,0
"6","ID70649720202",-4.86430789572927,0
"7","ID97618182095",-4.33744784209654,0
"8","ID77178525448",-4.10837825356058,0
"9","ID76985382883",-4.70395918375409,0
"10","ID59418996264",-4.79558701916848,0
"11","ID31575013898",-4.56651743063251,0
"12","ID44593057196",-2.27582154527284,0
"13","ID11680484941",-4.81085832507087,0
"14","ID38502498920",-4.94830007819246,0
"15","ID81818634915",-4.91775746638766,0
"16","ID36622516455",-4.87194354868047,0
"17","ID68674664510",-4.10837825356058,0
"18","ID45410266865",-4.87194354868047,0
"19","ID11865873826",-4.33744784209654,0
"20","ID90858907108",-4.10837825356058,0
"21","ID48468777699",-4.56651743063251,0
"22","ID46347570673",-4.10837825356058,0
"23","ID18557684411",-4.87194354868047,0
"24","ID32519708495",-3.65023907648864,0
"25","ID18180750831",-4.79558701916848,0
"26","ID50229907850",-4.56651743063251,0
"27","ID62112573190",-4.87194354868047,0
"28","ID48025364497",-4.26109131258455,0
"29","ID10854317904",-4.79558701916848,0
"30","ID73417283489",-4.56651743063251,0
"31","ID70033726920",-4.56651743063251,0
"32","ID30208195853",-4.79558701916848,0
"33","ID41680415925",-4.56651743063251,0
"34","ID53623020208",-4.79558701916848,0
"35","ID8344435230",-4.93302877229006,0
"36","ID35496825461",-4.91775746638766,0
"37","ID75218829640",-4.94830007819246,0
"38","ID97499072923",-4.91775746638766,0
"39","ID26256586204",-4.87194354868047,0
"40","ID34852562721",-4.87194354868047,0
"41","ID90620309110",-4.91012181343646,0
"42","ID19404783155",-4.33744784209654,0
"43","ID78072616261",-4.79558701916848,0
"44","ID37686732289",-4.79558701916848,0
"45","ID93401786961",-4.87194354868047,0
"46","ID21317332527",-4.56651743063251,0
"47","ID67949807628",-4.79558701916848,0
"48","ID52995910939",-4.33744784209654,0
"49","ID99285932071",-4.90248616048526,0
"50","ID90346541530",-3.65023907648864,0
"51","ID3141906253",-4.91012181343646,0
"52","ID53428803455",-4.56651743063251,0
"53","ID12558085011",-4.93302877229006,0
"54","ID93343562210",-4.56651743063251,0
"55","ID48652496071",-4.90248616048526,0
"56","ID96134256104",-4.10837825356058,0
"57","ID98181046870",-4.79558701916848,0
"58","ID59236649265",-4.79558701916848,0
"59","ID2962595412",-4.33744784209654,0
"60","ID24703249020",-4.56651743063251,0
"61","ID8380962027",-4.56651743063251,0
"62","ID89085090853",-4.79558701916848,0
"63","ID35416847251",-4.79558701916848,0
"64","ID52646651422",-4.97884268999725,0
"65","ID115250563",-4.56651743063251,0
"66","ID27512446384",-4.56651743063251,0
"67","ID96008320337",-4.79558701916848,0
"68","ID10198571258",-4.84140093687567,0
"69","ID56754249453",-4.33744784209654,0
"70","ID81103951242",-4.71923048965649,0
"71","ID39938451601",-2.96303031088074,0
"72","ID84003074599",-4.91012181343646,0
"73","ID65257510247",1.84743104837456,1
"74","ID20321785295",-4.79558701916848,0
"75","ID4464211456",-4.91012181343646,0
"76","ID78320342525",-4.79558701916848,0
"77","ID94435197810",-4.10837825356058,0
"78","ID21441236101",-4.91775746638766,0
"79","ID60040481276",-2.96303031088074,0
"80","ID68886833995",-4.33744784209654,0
"81","ID42977842149",-4.79558701916848,0
"82","ID92736855471",-4.74977310146128,0
"83","ID67945514604",-4.79558701916848,0
"84","ID5437348366",-4.56651743063251,0
"85","ID80170490909",-4.56651743063251,0
"86","ID7222207452",-4.97884268999725,0
"87","ID51471668086",-4.10837825356058,0
"88","ID3832995939",-4.33744784209654,0
"89","ID51398466597",-4.87194354868047,0
"90","ID61793022585",-4.71923048965649,0
"91","ID80337354485",-4.71923048965649,0
"92","ID44960966960",-4.87194354868047,0
"93","ID3081074963",-4.59706004243731,0
"94","ID18054389077",-4.6428739601445,0
"95","ID89553060470",-4.68105222490049,0
"96","ID42176812860",-4.10837825356058,0
"97","ID51032362995",-4.74977310146128,0
"98","ID56183650324",-4.95593573114365,0
"99","ID41104298104",-4.79558701916848,0
"100","ID87950904056",-4.93302877229006,0
"101","ID62206067686",-4.87194354868047,0
"102","ID56546177042",-4.71923048965649,0
"103","ID56943184303",-4.71923048965649,0
"104","ID61611778550",-4.87194354868047,0
"105","ID86251396865",-3.65023907648864,0
"106","ID91236941745",-4.88721485458286,0
"107","ID94013540071",-4.79558701916848,0
"108","ID58110136332",-4.79558701916848,0
"109","ID75079355051",-4.10837825356058,0
"110","ID65618680913",-4.79558701916848,0
"111","ID1823169133",-4.91012181343646,0
"112","ID64814976400",-4.56651743063251,0
"113","ID25690377422",-4.56651743063251,0
"114","ID78650547833",-3.65023907648864,0
"115","ID65265505046",-4.97884268999725,0
"116","ID70635124049",-4.71923048965649,0
"117","ID84032535731",-2.96303031088074,0
"118","ID33901862070",-2.96303031088074,0
"119","ID8764950935",-4.33744784209654,0
"120","ID95152191442",-4.33744784209654,0
"121","ID86901321535",-4.33744784209654,0
"122","ID94221040696",-4.33744784209654,0
"123","ID87878564599",-4.56651743063251,0
"124","ID82367220978",-4.79558701916848,0
"125","ID10052209072",-4.56651743063251,0
"126","ID80009875297",-4.86430789572927,0
"127","ID28616719520",-4.56651743063251,0
"128","ID37199004198",-4.10837825356058,0
"129","ID59522461220",-4.56651743063251,0
"130","ID63229227048",-2.96303031088074,0
"131","ID44285495227",-4.96357138409485,0
"132","ID19410313442",-4.87194354868047,0
"133","ID65015358182",-4.79558701916848,0
"134","ID14006104932",-4.56651743063251,0
"135","ID27155559755",-4.56651743063251,0
"136","ID26060462988",-4.10837825356058,0
"137","ID90373001988",-4.90248616048526,0
"138","ID44424445156",-4.33744784209654,0
"139","ID18360949036",-4.33744784209654,0
"140","ID76176343241",-3.76477387075663,0
"141","ID56382957033",-4.96357138409485,0
"142","ID65727452638",-4.84140093687567,0
"143","ID94934084357",-4.87194354868047,0
"144","ID59509701030",-4.93302877229006,0
"145","ID15564384970",-3.65023907648864,0
"146","ID74456530471",-4.79558701916848,0
"147","ID68429963881",-4.79558701916848,0
"148","ID16574113870",-4.94830007819246,0
"149","ID52486021841",-3.65023907648864,0
"150","ID48313559381",-4.87194354868047,0
"151","ID87970339687",-4.56651743063251,0
"152","ID15962334776",-4.56651743063251,0
"153","ID4153221428",-4.79558701916848,0
"154","ID90151555971",-4.10837825356058,0
"155","ID74281376634",-4.10837825356058,0
"156","ID94648012656",-4.93302877229006,0
"157","ID59086792151",-4.94830007819246,0
"158","ID25138427794",-4.79558701916848,0
"159","ID54675091036",-2.96303031088074,0
"160","ID99683264922",-4.79558701916848,0
"161","ID30385684189",-4.56651743063251,0
"162","ID58651719735",-4.33744784209654,0
"163","ID99004730768",-2.73396072234477,0
"164","ID57754322866",-4.33744784209654,0
"165","ID19246798064",-4.10837825356058,0
"166","ID17070644962",-4.33744784209654,0
"167","ID15386724246",-4.56651743063251,0
"168","ID70706844828",-4.93302877229006,0
"169","ID87495074229",-4.79558701916848,0
"170","ID79695131480",-4.79558701916848,0
"171","ID21587605831",-4.33744784209654,0
"172","ID95943476863",-4.56651743063251,0
"173","ID2649021243",-4.10837825356058,0
"174","ID637476845",-4.33744784209654,0
"175","ID82831414082",-2.27582154527284,0
"176","ID39671434387",-4.33744784209654,0
"177","ID53532292951",-4.79558701916848,0
"178","ID68141345106",-4.10837825356058,0
"179","ID51366756507",-4.26109131258455,0
"180","ID25861247268",-4.56651743063251,0
"181","ID47300846058",-4.98647834294845,0
"182","ID86880112293",-4.56651743063251,0
"183","ID88214458612",-4.56651743063251,0
"184","ID96577866746",-4.95593573114365,0
"185","ID63135857164",-4.68105222490049,0
"186","ID63592194143",-4.71923048965649,0
"187","ID11303788335",-4.71923048965649,0
"188","ID96804645376",-4.91775746638766,0
"189","ID61825395963",-4.10837825356058,0
"190","ID96352145353",-4.87194354868047,0
"191","ID60238171117",-4.94830007819246,0
"192","ID54828554976",-4.56651743063251,0
"193","ID4645168457",-4.56651743063251,0
"194","ID95249640101",-4.94830007819246,0
"195","ID89236235892",-4.86430789572927,0
"196","ID29839738658",-4.56651743063251,0
"197","ID6044827404",-4.94830007819246,0
"198","ID78128559318",-4.94830007819246,0
"199","ID77221786220",-4.10837825356058,0
"200","ID75503477442",-4.93302877229006,0
"201","ID19429119173",-4.94830007819246,0
"202","ID83484412861",-4.10837825356058,0
"203","ID73872505768",-4.87194354868047,0
"204","ID25144965166",-3.65023907648864,0
"205","ID81660622442",-4.79558701916848,0
"206","ID1596720005",-4.79558701916848,0
"207","ID17631524995",-4.33744784209654,0
"208","ID52437346499",-4.91012181343646,0
"209","ID29213486578",-4.33744784209654,0
"210","ID8144404975",-4.56651743063251,0
"211","ID30485220407",-4.87194354868047,0
"212","ID39653163840",-4.10837825356058,0
"213","ID31595588210",-4.6428739601445,0
"214","ID89660683548",-4.84140093687567,0
"215","ID9535230374",-4.90248616048526,0
"216","ID42055498222",-4.79558701916848,0
"217","ID69324276349",-4.59706004243731,0
"218","ID79486679835",-4.10837825356058,0
"219","ID66246692122",-2.96303031088074,0
"220","ID67026551005",-4.83376528392447,0
"221","ID22029155130",-4.88721485458286,0
"222","ID87166024505",-4.10837825356058,0
"223","ID80189251704",-4.99411399589965,0
"224","ID15747466876",22.4636940166116,1
"225","ID59628158556",-4.41380437160853,0
"226","ID9558085403",-4.10837825356058,0
"227","ID4896774191",-4.33744784209654,0
"228","ID46550584792",-4.56651743063251,0
"229","ID65811757820",-4.87194354868047,0
"230","ID43024006738",-4.87194354868047,0
"231","ID39343298012",-4.79558701916848,0
"232","ID39667210839",-4.88721485458286,0
"233","ID99559405538",-4.91012181343646,0
"234","ID95062027170",-4.10837825356058,0
"235","ID17081879413",-4.56651743063251,0
"236","ID9283686061",-4.10837825356058,0
"237","ID17076389033",-3.19209989941671,0
"238","ID56354416467",-4.79558701916848,0
"239","ID51997422637",-4.33744784209654,0
"240","ID86709872347",-4.87194354868047,0
"241","ID86399920045",-2.96303031088074,0
"242","ID14645069937",-4.56651743063251,0
"243","ID35110447478",-4.33744784209654,0
"244","ID6033727203",-4.71923048965649,0
"245","ID40461487202",-4.56651743063251,0
"246","ID79881357019",-4.10837825356058,0
"247","ID70365377781",-4.10837825356058,0
"248","ID50758600212",-4.71923048965649,0
"249","ID29258103170",-4.10837825356058,0
"250","ID65503625695",-4.87194354868047,0
"251","ID55188263652",-4.56651743063251,0
"252","ID42505212427",-4.33744784209654,0
"253","ID78979721934",-3.65023907648864,0
"254","ID54191451731",-3.65023907648864,0
"255","ID53501514556",-4.10837825356058,0
"256","ID12987053540",-2.96303031088074,0
"257","ID97277859643",-4.56651743063251,0
"258","ID44194070503",-4.94830007819246,0
"259","ID46861852587",-4.91012181343646,0
"260","ID18344503696",-4.94830007819246,0
"261","ID29815711467",-4.56651743063251,0
"262","ID42059086562",-4.79558701916848,0
"263","ID72391068270",-4.79558701916848,0
"264","ID90243866755",-4.79558701916848,0
"265","ID8900364818",-4.10837825356058,0
"266","ID68494661230",-4.56651743063251,0
"267","ID86211919545",-4.87194354868047,0
"268","ID58026476790",-4.56651743063251,0
"269","ID53923448991",-4.71923048965649,0
"270","ID78313696234",-4.56651743063251,0
"271","ID2193231928",-4.56651743063251,0
"272","ID4489535887",-4.33744784209654,0
"273","ID38364396308",-4.87194354868047,0
"274","ID26000104111",-4.56651743063251,0
"275","ID97561435679",-4.38326175980374,0
"276","ID24960964231",-4.79558701916848,0
"277","ID9825539407",-4.10837825356058,0
"278","ID14848791535",-2.27582154527284,0
"279","ID78411410506",-4.71923048965649,0
"280","ID25918706844",-4.10837825356058,0
"281","ID993310893",-4.56651743063251,0
"282","ID33187735422",-4.87194354868047,0
"283","ID19283600113",-4.87194354868047,0
"284","ID78412510677",-3.65023907648864,0
"285","ID67029692403",-4.91775746638766,0
"286","ID77134408977",-4.68105222490049,0
"287","ID61895053024",-4.33744784209654,0
"288","ID5378008776",-4.56651743063251,0
"289","ID48332962462",-4.87194354868047,0
"290","ID53480036069",-4.87194354868047,0
"291","ID80261292578",-2.27582154527284,0
"292","ID87367579241",-4.91012181343646,0
"293","ID45981985677",-4.79558701916848,0
"294","ID34097981468",-3.65023907648864,0
"295","ID74842754180",-4.56651743063251,0
"296","ID66903222243",-4.87194354868047,0
"297","ID23816083848",-4.33744784209654,0
"298","ID20797209544",-4.91012181343646,0
"299","ID56365733293",-4.90248616048526,0
"300","ID76815123845",-4.91775746638766,0
"301","ID32018763540",-4.79558701916848,0
"302","ID8101201061",-4.10837825356058,0
"303","ID6562305710",-4.79558701916848,0
"304","ID82095938679",-4.56651743063251,0
"305","ID76823729591",-4.79558701916848,0
"306","ID87561953713",-4.56651743063251,0
"307","ID93804917807",-4.79558701916848,0
"308","ID91826522579",-4.56651743063251,0
"309","ID32292730655",-4.93302877229006,0
"310","ID65704472067",-4.10837825356058,0
"311","ID95813582649",-4.79558701916848,0
"312","ID90512207239",-3.9556651945366,0
"313","ID25788454537",-4.56651743063251,0
"314","ID14242826408",-4.79558701916848,0
"315","ID70255459179",-3.65023907648864,0
"316","ID7628088075",-3.65023907648864,0
"317","ID5939676475",-4.56651743063251,0
"318","ID20101325456",-4.87194354868047,0
"319","ID38459847000",-4.71923048965649,0
"320","ID72376131206",-4.10837825356058,0
"321","ID81260812366",-4.56651743063251,0
"322","ID73912835109",-4.79558701916848,0
"323","ID11396121099",-4.79558701916848,0
"324","ID83268494756",-4.56651743063251,0
"325","ID67416918262",-4.79558701916848,0
"326","ID36327218933",-4.91012181343646,0
"327","ID23272176097",-4.87194354868047,0
"328","ID22311101305",-4.79558701916848,0
"329","ID65985026055",-4.79558701916848,0
"330","ID18519864519",-4.90248616048526,0
"331","ID35936074906",-2.27582154527284,0
"332","ID99227148200",-4.59706004243731,0
"333","ID75323408877",-4.83376528392447,0
"334","ID1364739100",-4.93302877229006,0
"335","ID72305664407",-4.33744784209654,0
"336","ID90839936300",-4.33744784209654,0
"337","ID10664043347",-4.33744784209654,0
"338","ID21942509953",-4.33744784209654,0
"339","ID16247516971",-4.33744784209654,0
"340","ID28232139268",-4.68105222490049,0
"341","ID6124830155",-4.56651743063251,0
"342","ID90201781452",-4.87194354868047,0
"343","ID12895328557",-4.70395918375409,0
"344","ID60098768938",-2.27582154527284,0
"345","ID69317611432",-4.56651743063251,0
"346","ID65902406194",-3.65023907648864,0
"347","ID92357249507",-3.65023907648864,0
"348","ID15382919234",-4.94830007819246,0
"349","ID66684088700",-4.10837825356058,0
"350","ID35588010277",-4.38326175980374,0
"351","ID14829224261",-4.91012181343646,0
"352","ID72169754920",-4.56651743063251,0
"353","ID87647522328",-4.56651743063251,0
"354","ID13262036588",-4.99411399589965,0
"355","ID40798155144",-4.10837825356058,0
"356","ID14569881146",-4.33744784209654,0
"357","ID6429724631",-4.87194354868047,0
"358","ID86575675889",-4.86430789572927,0
"359","ID673170062",-4.79558701916848,0
"360","ID50934789074",-4.10837825356058,0
"361","ID42414966571",-4.33744784209654,0
"362","ID40327408462",-4.56651743063251,0
"363","ID46765493576",-4.79558701916848,0
"364","ID55620612369",-4.10837825356058,0
"365","ID47254546334",-4.33744784209654,0
"366","ID98270379844",-4.79558701916848,0
"367","ID69008594085",-4.87194354868047,0
"368","ID92218164863",-4.10837825356058,0
"369","ID95786402931",-4.93302877229006,0
"370","ID44021400038",-4.90248616048526,0
"371","ID66182630959",-4.79558701916848,0
"372","ID93860829059",-3.19209989941671,0
"373","ID51488353755",-4.33744784209654,0
"374","ID47222589490",-4.79558701916848,0
"375","ID54269304105",-4.68105222490049,0
"376","ID56852423752",-4.79558701916848,0
"377","ID80904357405",-2.96303031088074,0
"378","ID78120164423",-4.87194354868047,0
"379","ID1369594876",-4.56651743063251,0
"380","ID66375787913",-4.87194354868047,0
"381","ID67706865196",-4.90248616048526,0
"382","ID35523263707",-4.91012181343646,0
"383","ID96590839790",-4.87194354868047,0
"384","ID27154373483",-4.33744784209654,0
"385","ID62397494568",-4.91012181343646,0
"386","ID25262210902",-4.97884268999725,0
"387","ID82244951549",-4.84140093687567,0
"388","ID76444922935",-4.33744784209654,0
"389","ID50557640590",-4.87194354868047,0
"390","ID33191438546",-4.79558701916848,0
"391","ID98020311211",-4.79558701916848,0
"392","ID78835460859",-4.79558701916848,0
"393","ID36597471375",-4.68105222490049,0
"394","ID67323525793",-4.26109131258455,0
"395","ID73394173836",-4.79558701916848,0
"396","ID19584892606",-3.65023907648864,0
"397","ID75638590834",-4.79558701916848,0
"398","ID34805723016",-4.33744784209654,0
"399","ID5865448809",-4.33744784209654,0
"400","ID8260723812",-4.97884268999725,0
"401","ID72316557156",-3.65023907648864,0
"402","ID27676125908",-4.38326175980374,0
"403","ID33431782682",-5.01702095475325,0
"404","ID39970556991",-4.93302877229006,0
"405","ID84389189716",-4.33744784209654,0
